14-54mm_No.2125	L1032_PP1_00079	L1032_PP1_00079‚ÌŽÀ‘ª’l
18	87	84.72039474
24	117	113.3799342
81	148	142.0394737
91	168	163.1496711
136	190	184.2598684
155	204	198.2401316
178	221	212.2203947
192	228	219.4901316
202	236	226.7598684
210	238	230.8141447
219	243	234.8684211
224	244	236.9654605
228	246	239.0625
232	246	240.0411184
236	245	241.0197368
236	245	241.9983553
240	246	242.9769737
241	247	243.5361842
242	246	244.0953947
243	245	244.375
243	245	244.6546053
245	245	245.0740132
245	245	245.4934211
246	246	245.4934211
246	246	245.4934211
245	246	245.9128289
243	246	246.3322368
244	246	246.6118421
243	246	246.8914474
244	246	247.1710526
243	247	247.4506579
245	247	247.3108553
244	248	247.1710526
243	248	247.7302632
244	248	248.2894737
244	249	248.9884868
245	249	249.6875
244	250	249.9671053
246	250	250.2467105
246	250	250.6661184
249	251	251.0855263
248	252	252.0641447
250	252	253.0427632
250	252	253.4621711
251	252	253.8815789
252	253	254.3009868
253	253	254.7203947
253	255	254.8601974
254	255	255
255	255	255
254	255	255
254	255	254.8601974
254	255	254.7203947
254	255	254.0213816
254	255	253.3223684
253	255	253.1825658
252	255	253.0427632
250	254	252.6233553
248	253	252.2039474
246	252	250.5263158
243	250	248.8486842
241	249	246.4720395
237	246	244.0953947
235	244	241.2993421
231	242	238.5032895
